id,organism,fasta_file,title,description,is_shown
182,78,/usr/local/i5k/media/blast/db/GCF_026898425.1_CSIRO_AGI_GalMel_v1_translated_cds.faa,GCF_026898425.1_CSIRO_AGI_GalMel_v1_translated_cds.faa,"Galleria mellonella NCBI Annotation release GCF_026898425.1-RS_2022_12, translated CDS",True
222,113,/usr/local/i5k/media/blast/db/GCF_027563975.2_ilPloInte3.2_translated_cds.faa,GCF_027563975.2_ilPloInte3.2_translated_cds.faa,"Plodia interpunctella NCBI Annotation release GCF_027563975.2-RS_2024_04, translated CDS",True
169,114,/usr/local/i5k/media/blast/db/GCF_028408465.1_idAnaLude1.1_translated_cds.faa,GCF_028408465.1_idAnaLude1.1_translated_cds.faa,"Anastrepha ludens NCBI Annotation release GCF_028408465.1-RS_2023_03, translated CDS",True
180,122,/usr/local/i5k/media/blast/db/GCF_029852145.1_iyMicMedi2.1_translated_cds.faa,GCF_029852145.1_iyMicMedi2.1_translated_cds.faa,"Microplitis mediator NCBI Annotation release GCF_029852145.1-RS_2023_06, translated CDS",True
192,124,/usr/local/i5k/media/blast/db/GCF_029955315.1_icCylForm1.1_translated_cds.faa,GCF_029955315.1_icCylForm1.1_translated_cds.faa,"Cylas formicarius NCBI Annotation release GCF_029955315.1-RS_2023_10, translated CDS",True
220,54,/usr/local/i5k/media/blast/db/GCF_031307605.1_icTriCast1.1_translated_cds.faa,GCF_031307605.1_icTriCast1.1_translated_cds.faa,"Tribolium castaneum NCBI Annotation release GCF_031307605.1-RS_2024_04, translated CDS",True
202,44,/usr/local/i5k/media/blast/db/GCF_032362555.1_ilAmyTran1.1_translated_cds.faa,GCF_032362555.1_ilAmyTran1.1_translated_cds.faa,"Amyelois transitella NCBI Annotation release GCF_032362555.1-RS_2023_11, translated CDS",True
199,126,/usr/local/i5k/media/blast/db/GCF_033807575.1_ilCydPomo1_translated_cds.faa,GCF_033807575.1_ilCydPomo1_translated_cds.faa,"Cydia pomonella NCBI Annotation release GCF_033807575.1-RS_2023_12, translated CDS",True
215,128,/usr/local/i5k/media/blast/db/GCF_034640455.1_iyDiaLong2_translated_cds.faa,GCF_034640455.1_iyDiaLong2_translated_cds.faa,"Diachasmimorpha longicaudata NCBI Annotation release GCF_034640455.1-RS_2024_03, translated CDS",True
216,129,/usr/local/i5k/media/blast/db/GCF_037043105.1_ilVanTame1_primary_haplotype_translated_cds.faa,GCF_037043105.1_ilVanTame1_primary_haplotype_translated_cds.faa,"Vanessa tameamea NCBI Annotation release GCF_037043105.1-RS_2024_03, translated CDS",True
217,130,/usr/local/i5k/media/blast/db/GCF_037126465.1_ASM3712646v1_translated_cds.faa,GCF_037126465.1_ASM3712646v1_translated_cds.faa,"Ornithodoros turicata NCBI Annotation release GCF_037126465.1-RS_2024_04, translated CDS",True
237,131,/usr/local/i5k/media/blast/db/GCF_040414725.1_ASM4041472v1_translated_cds.faa,GCF_040414725.1_ASM4041472v1_translated_cds.faa,"Anabrus simplex NCBI Annotation release GCF_040414725.1-RS_2024_09, translated CDS",True
181,70,/usr/local/i5k/media/blast/db/GCF_910591885.1_iyBomTerr1.2_translated_cds.faa,GCF_910591885.1_iyBomTerr1.2_translated_cds.faa,"Bombus terrestris NCBI Annotation release 103, translated CDS",True
207,2,/usr/local/i5k/media/blast/db/GCF_917208135.1_iyAthRosa1.1_translated_cds.faa,GCF_917208135.1_iyAthRosa1.1_translated_cds.faa,"Athalia rosae NCBI Annotation release 103, translated CDS",True
227,45,/usr/local/i5k/media/blast/db/JAMg_OGSv1.1_pep.fa,JAMg_OGSv1.1_pep.fa,"Bactrocera oleae JAMg_OGSv1.1, translated CDS",True
