id,organism,type,fasta_file,title,description,is_shown
65,21,3,/usr/local/i5k/media/blast/db/PVEN_new_ids.faa,PVEN_new_ids.faa,PVEN_new_ids.faa,True
64,21,2,/usr/local/i5k/media/blast/db/PVEN_new_ids.fna,PVEN_new_ids.fna,PVEN_new_ids.fna,True
742,125,1,/usr/local/i5k/media/blast/db/Planthopper-HiC-final_nocontam.fasta,Planthopper-HiC-final_nocontam.fasta,"Peregrinus maidis genome assembly, planthopper_HiC",True
66,22,1,/usr/local/i5k/media/blast/db/Ptep01282013.genome_new_ids.fa,Ptep01282013.genome_new_ids.fa,Ptep01282013.genome_new_ids.fa,True
63,21,1,/usr/local/i5k/media/blast/db/Pven10162013.scaffolds_new_ids.fa,Pven10162013.scaffolds_new_ids.fa,Pven10162013.scaffolds_new_ids.fa,True
457,82,1,/usr/local/i5k/media/blast/db/_____RdoDt3_Drdd8_decomES.fasta,_____RdoDt3_Drdd8_decomES.fasta,Rhyzopertha dominica genome assembly RdoDt3_Drdd8_decomES,True
380,1,2,/usr/local/i5k/media/blast/db/anogla_OGSv1.3_cds.fa,anogla_OGSv1.3_cds.fa,"Anoplophora glabripennis OGSv1.3, CDS",True
382,1,3,/usr/local/i5k/media/blast/db/anogla_OGSv1.3_pep.fa,anogla_OGSv1.3_pep.fa,"Anoplophora glabripennis OGSv1.3, proteins",True
381,1,2,/usr/local/i5k/media/blast/db/anogla_OGSv1.3_trans.fa,anogla_OGSv1.3_trans.fa,"Anoplophora glabripennis OGSv1.3, RNA",True
811,69,2,/usr/local/i5k/media/blast/db/apimel_OGSv3.4_cds.fa,apimel_OGSv3.4_cds.fa,"Apis mellifera OGSv3.4, CDS",True
809,69,3,/usr/local/i5k/media/blast/db/apimel_OGSv3.4_pep.fa,apimel_OGSv3.4_pep.fa,"Apis mellifera OGSv3.4, translated CDS",True
807,69,2,/usr/local/i5k/media/blast/db/apimel_OGSv3.4_trans.fa,apimel_OGSv3.4_trans.fa,"Apis mellifera OGSv3.4, transcripts",True
790,2,2,/usr/local/i5k/media/blast/db/athros_OGSv1.3_cds.fa,athros_OGSv1.3_cds.fa,"Athalia rosae OGSv1.3, CDS",True
788,2,3,/usr/local/i5k/media/blast/db/athros_OGSv1.3_pep.fa,athros_OGSv1.3_pep.fa,"Athalia rosae OGSv1.3, translated CDS",True
786,2,2,/usr/local/i5k/media/blast/db/athros_OGSv1.3_trans.fa,athros_OGSv1.3_trans.fa,"Athalia rosae OGSv1.3, transcripts",True
362,37,2,/usr/local/i5k/media/blast/db/blager_OGSv1.2_cds.fa,blager_OGSv1.2_cds.fa,"Blattella germanica OGSv1.2, coding sequence (CDS)",True
363,37,3,/usr/local/i5k/media/blast/db/blager_OGSv1.2_pep.fa,blager_OGSv1.2_pep.fa,"Blattella germanica OGSv1.2, peptides",True
361,37,2,/usr/local/i5k/media/blast/db/blager_OGSv1.2_trans.fa,blager_OGSv1.2_trans.fa,"Blattella germanica OGSv1.2, transcripts",True
343,72,2,/usr/local/i5k/media/blast/db/bomimp_OGSv1.1_cds_new.fa,bomimp_OGSv1.1_cds_new.fa,"Bombus impatiens OGSv1.1, CDS",True
344,72,3,/usr/local/i5k/media/blast/db/bomimp_OGSv1.1_pep_new.fa,bomimp_OGSv1.1_pep_new.fa,"Bombus impatiens OGSv1.1, peptlde",True
693,57,2,/usr/local/i5k/media/blast/db/cepcin_OGSv1.2_cds.fa,cepcin_OGSv1.2_cds.fa,"Cephus cinctus cepcin_OGSv1.2, CDS",True
713,57,3,/usr/local/i5k/media/blast/db/cepcin_OGSv1.2_pep.fa,cepcin_OGSv1.2_pep.fa,"Cephus cinctus cepcin_OGSv1.2, translated CDS",True
712,57,2,/usr/local/i5k/media/blast/db/cepcin_OGSv1.2_trans.fa,cepcin_OGSv1.2_trans.fa,"Cephus cinctus cepcin_OGSv1.2, transcripts",True
878,3,2,/usr/local/i5k/media/blast/db/cercap_OGSv1.1_cds.fa,cercap_OGSv1.1_cds.fa,"Ceratitis capitata OGS release 1.1, CDS",True
877,3,3,/usr/local/i5k/media/blast/db/cercap_OGSv1.1_pep.fa,cercap_OGSv1.1_pep.fa,"Ceratitis capitata OGS  release 1.1, translated CDS",True
876,3,2,/usr/local/i5k/media/blast/db/cercap_OGSv1.1_trans.fa,cercap_OGSv1.1_trans.fa,"Ceratitis capitata OGS release 1.1, transcripts",True
358,4,2,/usr/local/i5k/media/blast/db/cimlec_OGSv1.3_cds.fa,cimlec_OGSv1.3_cds.fa,"Cimex lectularius OGSv1.3, coding sequence (CDS)",True
359,4,3,/usr/local/i5k/media/blast/db/cimlec_OGSv1.3_pep.fa,cimlec_OGSv1.3_pep.fa,"Cimex lectularius OGSv1.3, peptides",True
357,4,2,/usr/local/i5k/media/blast/db/cimlec_OGSv1.3_trans.fa,cimlec_OGSv1.3_trans.fa,"Cimex lectularius OGSv1.3, transcripts",True
125,5,1,/usr/local/i5k/media/blast/db/diaci1.1_new_ids.fa,diaci1.1_new_ids.fa,diaci1.1 (Legacy assembly version),True
443,14,2,/usr/local/i5k/media/blast/db/ephdan_OGSv1.0_cds.fa,ephdan_OGSv1.0_cds.fa,"Ephemera danica ephdan_OGSv1.0, CDS",True
444,14,3,/usr/local/i5k/media/blast/db/ephdan_OGSv1.0_pep.fa,ephdan_OGSv1.0_pep.fa,"Ephemera danica ephdan_OGSv1.0, proteins",True
442,14,2,/usr/local/i5k/media/blast/db/ephdan_OGSv1.0_trans.fa,ephdan_OGSv1.0_trans.fa,"Ephemera danica ephdan_OGSv1.0, transcripts",True
783,71,2,/usr/local/i5k/media/blast/db/eufmex_OGSv1.3_cds.fa,eufmex_OGSv1.3_cds.fa,"Eufriesea mexicana OGSv1.3, CDS",True
781,71,3,/usr/local/i5k/media/blast/db/eufmex_OGSv1.3_pep.fa,eufmex_OGSv1.3_pep.fa,"Eufriesea mexicana OGSv1.3, translated CDS",True
779,71,2,/usr/local/i5k/media/blast/db/eufmex_OGSv1.3_trans.fa,eufmex_OGSv1.3_trans.fa,"Eufriesea mexicana OGSv1.3, transcripts",True
135,41,3,/usr/local/i5k/media/blast/db/fopari_v100_protein.fa,fopari_v100_protein.fa,"Fopius arisanus - NCBI annotation release 100, proteins",True
134,41,2,/usr/local/i5k/media/blast/db/fopari_v100_rna.fa,fopari_v100_rna.fa,"Fopius arisanus - NCBI annotation release 100, RNA",True
797,16,2,/usr/local/i5k/media/blast/db/fraocc_OGSv1.2_cds.fa,fraocc_OGSv1.2_cds.fa,"Frankliniella occidentalis OGSv1.2, CDS",True
795,16,3,/usr/local/i5k/media/blast/db/fraocc_OGSv1.2_pep.fa,fraocc_OGSv1.2_pep.fa,"Frankliniella occidentalis OGSv1.2, translated CDS",True
793,16,2,/usr/local/i5k/media/blast/db/fraocc_OGSv1.2_trans.fa,fraocc_OGSv1.2_trans.fa,"Frankliniella occidentalis OGSv1.2, transcripts",True
373,26,2,/usr/local/i5k/media/blast/db/gerbue_OGSv1.1_cds.fa,gerbue_OGSv1.1_cds.fa,"Gerris buenoi OGSv1.1, CDS",True
